,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
28,May-12,14.109537,12.908521,24.724125,1.1100332899755283,0.961220485460438,32948.536499999995,44246.36758333333,22272.995499999997,21973.373583333334,10601.443333333333,97.91666666666667,-1.3133333333333335,27721.666666666668,5891.666666666667,58037.0,6421.666666666667,4300.15,56914.0,530.0,4096.799999999999,203.35000000000002,0.0,0.84
29,Jun-12,6.3494537,11.654428,23.765781,1.0703498754381708,0.9061046319363302,33007.2,44343.467,22321.708,22021.761,10639.428999999998,98.0,-1.32,27730.0,5900.0,58037.0,6430.0,4303.2,56914.0,530.0,4099.4,203.8,0.0,0.76
30,Jul-12,7.638056999999999,11.112219,23.319262,1.091293899777332,0.9931876805044204,33065.99091666666,44441.50983333333,22370.91475,22070.59733333333,10678.989749999999,98.0,-1.3075,27721.666666666668,5891.666666666667,58037.0,6421.666666666667,4306.25,56914.0,530.0,4102.0,204.25,0.0,0.74
31,Aug-12,10.9013176,11.315218,24.087666,1.1166471923984216,1.0031085341387598,33124.78183333333,44539.55266666666,22420.121499999997,22119.433666666664,10718.550499999998,98.0,-1.295,27713.333333333332,5883.333333333333,58037.0,6413.333333333333,4309.3,56914.0,530.0,4104.599999999999,204.70000000000002,0.0,0.73
32,Sep-12,9.743759,10.961699000000001,25.620655,1.0901915827068498,0.9347648757688662,33183.57275,44637.595499999996,22469.32825,22168.269999999997,10758.111249999998,98.0,-1.2825,27705.0,5875.0,58037.0,6405.0,4312.35,56914.0,530.0,4107.2,205.15,0.0,0.61
33,Oct-12,8.99344,11.010479,25.546574,1.0979078022002249,0.8091007297339007,33242.363666666664,44735.63833333333,22518.535,22217.106333333333,10797.671999999999,98.0,-1.27,27696.666666666668,5866.666666666667,58037.0,6396.666666666667,4315.4,56914.0,530.0,4109.8,205.6,0.0,0.67
34,Nov-12,9.731498,11.54224,24.707561,1.0648382900857605,0.9557089001080272,33301.15458333333,44833.68116666666,22567.741749999997,22265.942666666666,10837.23275,98.0,-1.2575,27688.333333333332,5858.333333333333,58037.0,6388.333333333333,4318.45,56914.0,530.0,4112.4,206.05,0.0,0.76
35,Dec-12,15.233153000000001,10.7222185,23.833895000000002,1.0488546925637694,0.8978372539077141,33359.9455,44931.724,22616.9485,22314.779,10876.7935,98.0,-1.245,27680.0,5850.0,58037.0,6380.0,4321.5,56914.0,530.0,4115.0,206.5,0.0,0.76
36,Jan-13,3.6242785999999994,10.974458,27.280540000000002,1.032871095041778,0.8399656077074009,33418.73641666667,45029.766833333335,22666.15525,22363.61533333333,10916.354249999999,98.0,-1.2325,27671.666666666668,5841.666666666667,58037.0,6371.666666666667,4324.55,56914.0,530.0,4117.6,206.95,0.0,0.76
37,Feb-13,3.3439834999999993,10.284104,27.423834000000003,1.0086201194911706,0.8708304856809013,33477.52733333333,45127.80966666667,22715.361999999997,22412.451666666664,10955.914999999999,98.0,-1.22,27663.333333333332,5833.333333333333,58037.0,6363.333333333333,4327.6,56914.0,530.0,4120.2,207.4,0.0,0.77
