,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
22,Nov-11,18.741379,22.492117,31.43396,1.0990101192707071,0.8454771930598117,34177.94566666667,46248.31116666667,23174.138083333335,23074.179,14022.995916666665,103.41666666666667,0.009166666666666667,38883.333333333336,12841.666666666666,94730.0,14883.333333333334,47393.0,88580.0,2041.6666666666667,47138.833333333336,254.16666666666666,0.0,0.77
23,Dec-11,22.777992000000005,24.259098,32.13906,1.2180603628827795,1.0516104852399746,34239.236000000004,46363.271,23231.5015,23131.775,14087.713499999998,103.5,0.015000000000000003,39000.0,12950.0,94730.0,15000.0,47362.0,88580.0,2050.0,47107.0,255.0,0.0,0.79
24,Jan-12,3.0246679999999997,24.271614000000003,32.27531,1.2390043872219405,1.0560197535219031,34300.526333333335,46478.230833333335,23288.864916666666,23189.371,14152.431083333333,103.58333333333333,0.020833333333333332,39116.666666666664,13058.333333333334,94730.0,15116.666666666666,47331.0,88580.0,2058.3333333333335,47075.166666666664,255.83333333333334,0.0,0.98
25,Feb-12,5.3319504,23.646683,33.028038,1.2081395092484404,0.9821645097995988,34361.816666666666,46593.19066666667,23346.228333333333,23246.967,14217.148666666666,103.66666666666667,0.02666666666666667,39233.333333333336,13166.666666666666,94730.0,15233.333333333334,47300.0,88580.0,2066.6666666666665,47043.333333333336,256.6666666666667,0.0,0.92
26,Mar-12,5.725891,24.222744,32.46224,1.2632553627725478,1.1001124363411892,34423.107,46708.1505,23403.59175,23304.563,14281.86625,103.75,0.0325,39350.0,13275.0,94730.0,15350.0,47269.0,88580.0,2075.0,47011.5,257.5,0.0,0.94
27,Apr-12,22.069476,23.143263,31.094913000000002,1.2632553627725478,1.1001124363411892,34484.397333333334,46823.11033333333,23460.955166666667,23362.159,14346.583833333332,103.83333333333333,0.03833333333333333,39466.666666666664,13383.333333333334,94730.0,15466.666666666666,47238.0,88580.0,2083.3333333333335,46979.666666666664,258.3333333333333,0.0,0.99
28,May-12,14.100458,21.958004000000003,30.43455,1.313961948014727,0.9986992658568312,34545.68766666667,46938.070166666665,23518.318583333334,23419.754999999997,14411.301416666665,103.91666666666667,0.04416666666666666,39583.333333333336,13491.666666666666,94730.0,15583.333333333334,47207.0,88580.0,2091.6666666666665,46947.833333333336,259.1666666666667,0.0,0.99
29,Jun-12,1.2226971,20.346598,29.76401,1.2864040212526733,1.1717630459225292,34606.978,47053.03,23575.682,23477.351,14476.018999999998,104.0,0.05,39700.0,13600.0,94730.0,15700.0,47176.0,88580.0,2100.0,46916.0,260.0,0.0,0.99
30,Jul-12,0.5571596999999999,19.313854,29.670643,1.2301858506580834,1.0229502414074385,34668.60575,47172.20491666667,23635.228333333333,23536.979583333334,14543.85775,104.16666666666667,0.0325,39695.833333333336,13591.666666666666,94730.0,15695.833333333334,47145.0,88580.0,2104.1666666666665,46884.166666666664,260.8333333333333,0.0,0.81
31,Aug-12,3.5778824,20.279514000000002,29.751528000000004,1.3293943870014773,1.113340241186975,34730.2335,47291.37983333333,23694.774666666668,23596.608166666665,14611.696499999998,104.33333333333333,0.015,39691.666666666664,13583.333333333334,94730.0,15691.666666666666,47114.0,88580.0,2108.3333333333335,46852.333333333336,261.6666666666667,0.0,0.72
32,Sep-12,1.655834,19.72743,30.699704999999998,1.3044085334038817,1.084312558330945,34791.86125,47410.554749999996,23754.321,23656.23675,14679.535249999999,104.5,-0.0025000000000000022,39687.5,13575.0,94730.0,15687.5,47083.0,88580.0,2112.5,46820.5,262.5,0.0,0.79
33,Oct-12,2.0917356,21.56604,31.896595,1.2794226798062864,1.0552848754749151,34853.489,47529.729666666666,23813.867333333335,23715.86533333333,14747.374,104.66666666666667,-0.020000000000000004,39683.333333333336,13566.666666666666,94730.0,15683.333333333334,47052.0,88580.0,2116.6666666666665,46788.666666666664,263.3333333333333,0.0,0.77
34,Nov-12,9.541259,22.759306,32.201668,1.254436826208691,1.026257192618885,34915.11675,47648.90458333334,23873.413666666667,23775.493916666666,14815.212749999999,104.83333333333333,-0.037500000000000006,39679.166666666664,13558.333333333334,94730.0,15679.166666666666,47021.0,88580.0,2120.8333333333335,46756.833333333336,264.1666666666667,0.0,0.85
35,Dec-12,7.71954,23.946075,32.767708,1.2252254238409135,0.9876760951520096,34976.7445,47768.0795,23932.96,23835.122499999998,14883.0515,105.0,-0.05500000000000001,39675.0,13550.0,94730.0,15675.0,46990.0,88580.0,2125.0,46725.0,265.0,0.0,0.89
36,Jan-13,7.814698,25.026301999999998,33.083645000000004,1.1960140214731363,0.9490949976851342,35038.37225,47887.25441666666,23992.506333333335,23894.751083333333,14950.89025,105.16666666666667,-0.07250000000000001,39670.833333333336,13541.666666666666,94730.0,15670.833333333334,46959.0,88580.0,2129.1666666666665,46693.166666666664,265.8333333333333,0.0,1.08
37,Feb-13,1.0866611000000002,24.430017000000003,33.22804,1.2158557287418157,0.9656297537423664,35100.0,48006.42933333333,24052.052666666666,23954.379666666668,15018.729,105.33333333333333,-0.09000000000000001,39666.666666666664,13533.333333333334,94730.0,15666.666666666666,46928.0,88580.0,2133.3333333333335,46661.333333333336,266.6666666666667,0.0,1.04
38,Mar-13,16.683669000000002,23.735243,32.58724,1.1684560947110827,0.9557089001080272,35161.62775,48125.604250000004,24111.599000000002,24014.00825,15086.56775,105.5,-0.10750000000000003,39662.5,13525.0,94730.0,15662.5,46897.0,88580.0,2137.5,46629.5,267.5,0.0,0.97
39,Apr-13,22.053078,22.567741,30.831894000000002,1.071452192508653,0.903899997795366,35223.2555,48244.77916666667,24171.145333333334,24073.636833333334,15154.406500000001,105.66666666666667,-0.125,39658.333333333336,13516.666666666666,94730.0,15658.333333333334,46866.0,88580.0,2141.6666666666665,46597.666666666664,268.3333333333333,0.0,1.02
40,May-13,11.472336000000002,22.158003,30.834028000000004,1.026257192618885,0.9105139002182588,35284.88325,48363.95408333333,24230.69166666667,24133.265416666665,15222.24525,105.83333333333333,-0.14250000000000002,39654.166666666664,13508.333333333334,94730.0,15654.166666666666,46835.0,88580.0,2145.8333333333335,46565.833333333336,269.1666666666667,0.0,1.01
41,Jun-13,1.0696299,19.963264000000002,29.760365000000004,0.9942899975749026,0.7903613395357041,35346.511,48483.129,24290.238,24192.894,15290.084,106.0,-0.16,39650.0,13500.0,94730.0,15650.0,46804.0,88580.0,2150.0,46534.0,270.0,0.0,1.02
42,Jul-13,1.0642847,19.400833,29.973765999999998,1.0460988998875638,0.9171278026411518,35408.64275,48606.24833333334,24351.71425,24254.537,15361.14175,106.16666666666667,-0.19666666666666666,39650.0,13500.0,94730.0,15650.0,46773.0,88580.0,2150.0,46502.166666666664,270.8333333333333,0.0,1.17
43,Aug-13,1.8284567000000003,19.474825,29.676008000000003,1.0890892656363678,0.8377609735664366,35470.7745,48729.367666666665,24413.1905,24316.18,15432.1995,106.33333333333333,-0.23333333333333334,39650.0,13500.0,94730.0,15650.0,46742.0,88580.0,2150.0,46470.333333333336,271.6666666666667,0.0,1.32
44,Sep-13,4.0364532,20.527431,31.30335,1.0736568266496176,0.8785467051742764,35532.90625,48852.487,24474.66675,24377.823,15503.25725,106.5,-0.27,39650.0,13500.0,94730.0,15650.0,46711.0,88580.0,2150.0,46438.5,272.5,0.0,1.47
45,Oct-13,5.08753,21.553541,31.868470000000002,0.9314579245574196,0.8895698758790979,35595.038,48975.60633333334,24536.143,24439.466,15574.315,106.66666666666667,-0.30666666666666664,39650.0,13500.0,94730.0,15650.0,46680.0,88580.0,2150.0,46406.666666666664,273.3333333333333,0.0,1.47
46,Nov-13,8.099911500000001,22.675451000000002,32.704792,1.0097224365616526,0.8421702418483653,35657.16975,49098.725666666665,24597.61925,24501.109,15645.37275,106.83333333333333,-0.34333333333333327,39650.0,13500.0,94730.0,15650.0,46649.0,88580.0,2150.0,46374.833333333336,274.1666666666667,0.0,1.47
47,Dec-13,10.92257,23.934097,32.627083,1.0064154853502059,0.8730351198218657,35719.3015,49221.845,24659.095500000003,24562.752,15716.4305,107.0,-0.38,39650.0,13500.0,94730.0,15650.0,46618.0,88580.0,2150.0,46343.0,275.0,0.0,1.48
48,Jan-14,0.9850375,24.69453,32.656040000000004,0.9832668268700808,0.7705196322670254,35781.433249999995,49344.96433333334,24720.571750000003,24624.395,15787.48825,107.16666666666667,-0.41666666666666663,39650.0,13500.0,94730.0,15650.0,46587.0,88580.0,2150.0,46311.166666666664,275.8333333333333,0.0,1.35
49,Feb-14,8.304295,24.689392,32.619704999999996,0.9920853634339382,0.7198130470248463,35843.564999999995,49468.083666666666,24782.048000000003,24686.038,15858.546,107.33333333333333,-0.45333333333333325,39650.0,13500.0,94730.0,15650.0,46556.0,88580.0,2150.0,46279.333333333336,276.6666666666667,0.0,1.45
50,Mar-14,14.30216,23.907118,32.07526,1.0064154853502059,0.7473709737869001,35905.696749999996,49591.203,24843.524250000002,24747.681,15929.60375,107.5,-0.49,39650.0,13500.0,94730.0,15650.0,46525.0,88580.0,2150.0,46247.5,277.5,0.0,1.44
51,Apr-14,41.911557,22.867222,30.519392,0.992085363433938,0.7771335346899182,35967.828499999996,49714.32233333334,24905.000500000002,24809.324,16000.6615,107.66666666666667,-0.5266666666666666,39650.0,13500.0,94730.0,15650.0,46494.0,88580.0,2150.0,46215.666666666664,278.3333333333333,0.0,1.36
52,May-14,18.764848,22.670504,30.934029,0.9777552415176702,0.8068960955929364,36029.96025,49837.441666666666,24966.47675,24870.967,16071.71925,107.83333333333333,-0.5633333333333332,39650.0,13500.0,94730.0,15650.0,46463.0,88580.0,2150.0,46183.833333333336,279.1666666666667,0.0,0.91
