,Date-Monthly,precip,mintemp,maxtemp,DAP,Urea,Rural population,Total Population - Both sexes,Total Population - Female,Total Population - Male,Urban population,Average dietary energy supply adequacy (percent) (3-year average),Political stability and absence of violence/terrorism (index),Agricultural land (1000 ha),Arable land (1000 ha),Country area (1000 ha),Cropland (1000 ha),Forest land (1000 ha),Land area (1000 ha),Land under permanent crops (1000 ha),Other naturally regenerated forest (1000 ha),Planted Forest (1000 ha),Primary Forest (1000 ha),price
20,Sep-11,22.802066000000003,13.204013,24.75778,1.1221587777508324,0.8785467051742764,8791.355500000001,10357.4165,5278.242,5079.17475,1792.911,110.0,-0.1925,1816.2625,1143.7625,2634.0,1393.7625,454.5,2467.0,250.0,55.0,392.5,7.0,0.61
21,Oct-11,14.931408999999999,11.869201,23.44889,1.0934985339182963,0.8311470711435438,8810.198,10378.778333333334,5288.964333333333,5089.813666666667,1796.8003333333334,110.0,-0.19666666666666666,1816.2033333333334,1144.5366666666666,2634.0,1394.5366666666666,455.06666666666666,2467.0,250.0,55.0,393.06666666666666,7.0,0.6
22,Nov-11,17.447563,11.946316,22.428452,1.1166471923984216,0.8763420710333121,8829.040500000001,10400.140166666668,5299.6866666666665,5100.452583333334,1800.6896666666667,110.0,-0.20083333333333334,1816.1441666666667,1145.3108333333334,2634.0,1395.3108333333334,455.6333333333333,2467.0,250.0,55.0,393.6333333333333,7.0,0.55
23,Dec-11,11.523811,12.210032,23.175203,1.1155448753279391,0.8697281686104191,8847.883000000002,10421.502,5310.409,5111.0915,1804.579,110.0,-0.20500000000000002,1816.085,1146.085,2634.0,1396.085,456.20000000000005,2467.0,250.0,55.0,394.20000000000005,7.0,0.53
24,Jan-12,7.2369200000000005,12.259872,24.268173,1.1144425582574573,0.8763420710333121,8866.7255,10442.863833333333,5321.131333333334,5121.730416666666,1808.4683333333332,110.0,-0.20916666666666667,1816.0258333333334,1146.8591666666666,2634.0,1396.8591666666666,456.7666666666667,2467.0,250.0,55.0,394.7666666666667,7.0,0.5
25,Feb-12,11.089718999999999,13.471744000000001,25.419987,1.1144425582574573,0.8730351198218657,8885.568000000001,10464.225666666667,5331.853666666667,5132.369333333333,1812.3576666666665,110.0,-0.21333333333333335,1815.9666666666667,1147.6333333333334,2634.0,1397.6333333333334,457.33333333333337,2467.0,250.0,55.0,395.33333333333337,7.0,0.45
26,Mar-12,12.997485000000001,13.441479999999999,24.523977,1.1122379241164928,0.8708304856809013,8904.4105,10485.587500000001,5342.576,5143.00825,1816.2469999999998,110.0,-0.2175,1815.9075,1148.4075,2634.0,1398.4075,457.90000000000003,2467.0,250.0,55.0,395.90000000000003,7.0,0.5
27,Apr-12,19.991742,12.9501295,23.277039000000002,1.1122379241164928,0.8708304856809013,8923.253,10506.949333333334,5353.298333333334,5153.647166666667,1820.1363333333334,110.0,-0.22166666666666668,1815.8483333333334,1149.1816666666666,2634.0,1399.1816666666666,458.4666666666667,2467.0,250.0,55.0,396.4666666666667,7.0,0.52
28,May-12,12.807938000000002,13.187385,22.723282,1.1111356070460108,0.8708304856809013,8942.0955,10528.311166666666,5364.020666666667,5164.286083333333,1824.0256666666667,110.0,-0.22583333333333333,1815.7891666666667,1149.9558333333334,2634.0,1399.9558333333334,459.03333333333336,2467.0,250.0,55.0,397.03333333333336,7.0,0.48
29,Jun-12,6.703155500000001,12.722576,23.935703,1.1166471923984216,0.8741374368923478,8960.938,10549.673,5374.743,5174.925,1827.915,110.0,-0.23,1815.73,1150.73,2634.0,1400.73,459.6,2467.0,250.0,55.0,397.6,7.0,0.5
